Time [s], Analyzer Name, Decoded Protocol Result
0.000014666666667,I2C,Setup Write to ['224' (0xE0)] + ACK
0.000109916666667,I2C,! (0x21) + ACK
0.000239666666667,I2C,Setup Write to ['224' (0xE0)] + ACK
0.000334833333333,I2C,'129' (0x81) + ACK
0.000464583333333,I2C,Setup Write to ['224' (0xE0)] + ACK
0.000559833333333,I2C,'239' (0xEF) + ACK
0.000764666666667,I2C,Setup Write to ['224' (0xE0)] + ACK
0.000859833333333,I2C,'0' (0x00) + ACK
0.000954500000000,I2C,'6' (0x06) + ACK
0.001049250000000,I2C,'0' (0x00) + ACK
0.001143916666667,I2C,[ (0x5B) + ACK
0.001238666666667,I2C,'0' (0x00) + ACK
0.001333333333333,I2C,'2' (0x02) + ACK
0.001428083333333,I2C,'0' (0x00) + ACK
0.001522833333333,I2C,O (0x4F) + ACK
0.001617500000000,I2C,'0' (0x00) + ACK
0.001712250000000,I2C,f (0x66) + ACK
0.001807000000000,I2C,'0' (0x00) + ACK
0.001901666666667,I2C,'0' (0x00) + ACK
0.001996250000000,I2C,'0' (0x00) + ACK
0.002091000000000,I2C,'0' (0x00) + ACK
0.002185750000000,I2C,'0' (0x00) + ACK
0.002280416666667,I2C,'0' (0x00) + ACK
0.002375166666667,I2C,'0' (0x00) + ACK
